No.,date,time,test,negative,confirmed,released,deceased
112,10/5/2020,0,663886,642884,10874,9610,256
9,28/1/2020,16,116,97,4,0,0
95,23/4/2020,0,583971,563130,10702,8411,240
152,19/6/2020,0,1158063,1124567,12306,10835,280
30,18/2/2020,16,9772,8923,31,12,0
6,25/1/2020,16,27,25,2,0,0
107,5/5/2020,0,640237,620575,10804,9283,254
88,16/4/2020,0,538775,513894,10613,7757,229
4,23/1/2020,16,22,21,1,0,0
17,5/2/2020,16,714,522,18,1,0
150,17/6/2020,0,1132823,1099136,12198,10774,279
29,17/2/2020,16,8718,7980,30,10,0
136,3/6/2020,0,956852,917397,11590,10467,273
109,7/5/2020,0,649388,630149,10810,9419,256
21,9/2/2020,16,2598,1683,27,3,0
102,30/4/2020,0,619881,600482,10765,9059,247
153,20/6/2020,0,1170901,1137058,12373,10856,280
49,8/3/2020,0,188518,162008,7134,130,50
156,23/6/2020,0,1196012,1161250,12484,10908,281
55,14/3/2020,0,261335,235615,8086,714,72
148,15/6/2020,0,1105719,1072805,12121,10730,277
15,3/2/2020,16,490,414,15,0,0
106,4/5/2020,0,633921,614944,10801,9217,252
44,3/3/2020,0,125851,85484,4812,34,28
96,24/4/2020,0,589520,569212,10708,8501,240
35,23/2/2020,16,26179,17520,602,18,6
103,1/5/2020,0,623069,603610,10774,9072,248
36,24/2/2020,16,32756,20292,833,24,8
149,16/6/2020,0,1119767,1084980,12155,10760,278
100,28/4/2020,0,608514,588559,10752,8854,244
65,24/3/2020,0,348582,324105,9037,3507,120
118,16/5/2020,0,740645,711265,11037,9851,262
119,17/5/2020,0,747653,718943,11050,9888,262
27,15/2/2020,16,7734,7148,28,9,0
101,29/4/2020,0,614197,595129,10761,8922,246
85,13/4/2020,0,518743,494815,10537,7447,217
115,13/5/2020,0,695920,665379,10962,9695,259
32,20/2/2020,16,13202,11238,104,16,1
147,14/6/2020,0,1100328,1066887,12085,10718,277
137,4/6/2020,0,973858,934030,11629,10499,273
111,9/5/2020,0,660030,640037,10840,9568,256
138,5/6/2020,0,990960,950526,11668,10506,273
75,3/4/2020,0,443273,414303,10062,6021,174
144,11/6/2020,0,1066888,1029447,11947,10654,276
74,2/4/2020,0,431743,403882,9976,5828,169
3,22/1/2020,16,4,3,1,0,0
2,21/1/2020,16,1,0,1,0,0
127,25/5/2020,0,826437,796142,11206,10226,267
160,27/6/2020,0,1243780,1211261,12653,11317,282
52,11/3/2020,0,222395,196100,7755,288,60
158,25/6/2020,0,1220478,1189015,12563,10974,282
12,31/1/2020,16,312,245,11,0,0
20,8/2/2020,16,2097,1134,24,2,0
51,10/3/2020,0,210144,184179,7513,247,54
71,30/3/2020,0,395194,372002,9661,5228,158
89,17/4/2020,0,546463,521642,10635,7829,230
45,4/3/2020,0,136707,102965,5328,41,32
126,24/5/2020,0,820289,788766,11190,10213,266
123,21/5/2020,0,788684,759473,11122,10135,264
41,29/2/2020,16,94055,55723,3150,28,17
134,1/6/2020,0,921391,885830,11503,10422,271
57,16/3/2020,0,274504,251297,8236,1137,75
62,21/3/2020,0,327509,303006,8799,2612,102
23,11/2/2020,16,4325,3535,28,4,0
18,6/2/2020,16,885,693,23,2,0
83,11/4/2020,0,510479,485929,10480,7243,211
