429,Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
688,290,22/3/2020,6:00 PM,Ladakh,13,0,0,0,13
505,414,27/3/2020,10:00 AM,Rajasthan,39,2,3,0,41
575,150,15/3/2020,6:00 PM,Delhi,7,0,2,1,7
710,50,5/3/2020,6:00 PM,Telengana,1,0,0,0,1
702,345,25/3/2020,6:00 PM,Gujarat,37,1,0,1,38
964,372,26/3/2020,6:00 PM,Goa,3,0,0,0,3
420,160,15/3/2020,6:00 PM,Ladakh,3,0,0,0,3
996,140,14/3/2020,6:00 PM,Telengana,1,0,0,0,1
936,154,15/3/2020,6:00 PM,Maharashtra,32,0,0,0,32
909,396,27/3/2020,10:00 AM,Chandigarh,7,0,0,0,7
257,146,14/3/2020,6:00 PM,Karnataka,6,0,0,1,6
405,216,19/3/2020,6:00 PM,Maharashtra,44,3,0,1,47
658,48,5/3/2020,6:00 PM,Kerala,3,0,3,0,3
936,402,27/3/2020,10:00 AM,Himachal Pradesh,3,0,0,1,3
436,87,10/3/2020,6:00 PM,Ladakh,2,0,0,0,2
629,328,24/3/2020,6:00 PM,Manipur,1,0,0,0,1
897,437,28/3/2020,6:00 PM,Mizoram,1,0,0,0,1
787,261,21/3/2020,6:00 PM,Punjab,13,0,0,1,13
173,16,14/2/2020,6:00 PM,Kerala,3,0,0,0,3
282,141,14/3/2020,6:00 PM,Uttar Pradesh,11,1,5,0,12
888,277,22/3/2020,6:00 PM,Himachal Pradesh,2,0,0,0,2
118,365,25/3/2020,6:00 PM,West Bengal,9,0,0,1,9
974,9,7/2/2020,6:00 PM,Kerala,3,0,0,0,3
554,86,10/3/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7
59,352,25/3/2020,6:00 PM,Manipur,1,0,0,0,1
362,370,26/3/2020,6:00 PM,Chhattisgarh,6,0,0,0,6
939,191,17/3/2020,6:00 PM,Uttar Pradesh,14,1,5,0,15
530,289,22/3/2020,6:00 PM,Jammu and Kashmir,4,0,0,0,4
788,423,28/3/2020,6:00 PM,Chandigarh,8,0,0,0,8
770,35,2/3/2020,6:00 PM,Delhi,1,0,0,0,1
653,371,26/3/2020,6:00 PM,Delhi,35,1,6,1,36
744,44,4/3/2020,6:00 PM,Telengana,1,0,0,0,1
18,34,2/3/2020,6:00 PM,Kerala,3,0,0,0,3
292,67,8/3/2020,6:00 PM,Telengana,1,0,0,0,1
287,95,10/3/2020,6:00 PM,Tamil Nadu,1,0,0,0,1
633,111,12/3/2020,6:00 PM,Haryana,0,14,0,0,14
387,138,14/3/2020,6:00 PM,Kerala,19,0,3,0,19
60,6,4/2/2020,6:00 PM,Kerala,3,0,0,0,3
999,176,16/3/2020,6:00 PM,Uttar Pradesh,12,1,4,0,13
841,279,22/3/2020,6:00 PM,Kerala,45,7,3,0,52
376,133,13/3/2020,6:00 PM,Karnataka,6,0,0,1,6
15,135,13/3/2020,6:00 PM,Andhra Pradesh,1,0,0,0,1
593,301,23/3/2020,6:00 PM,Karnataka,33,0,2,1,33
472,91,10/3/2020,6:00 PM,Kerala,15,0,3,0,15
992,357,25/3/2020,6:00 PM,Rajasthan,34,2,3,0,36
50,132,13/3/2020,6:00 PM,Punjab,1,0,0,0,1
250,398,27/3/2020,10:00 AM,Delhi,35,1,6,1,36
99,118,12/3/2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1
969,59,7/3/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7
430,214,19/3/2020,6:00 PM,Karnataka,14,0,0,1,14
99,339,24/3/2020,6:00 PM,Uttarakhand,3,1,0,0,4
447,413,27/3/2020,10:00 AM,Punjab,33,0,0,1,33
886,269,21/3/2020,6:00 PM,Uttarakhand,3,0,0,0,3
787,308,23/3/2020,6:00 PM,Rajasthan,26,2,3,0,28
827,69,8/3/2020,6:00 PM,Rajasthan,1,14,0,0,15
761,183,17/3/2020,6:00 PM,Maharashtra,36,3,0,1,39
509,207,18/3/2020,6:00 PM,Uttar Pradesh,15,1,5,0,16
489,122,12/3/2020,6:00 PM,Andhra Pradesh,1,0,0,0,1
899,241,20/3/2020,6:00 PM,Tamil Nadu,3,0,1,0,3
762,407,27/3/2020,10:00 AM,Madhya Pradesh,20,0,0,1,20
172,53,6/3/2020,6:00 PM,Haryana,0,2,0,0,2
659,64,7/3/2020,6:00 PM,Haryana,0,2,0,0,2
405,392,26/3/2020,6:00 PM,West Bengal,10,0,0,1,10
121,24,22/2/2020,6:00 PM,Kerala,3,0,0,0,3
27,81,9/3/2020,6:00 PM,Telengana,1,0,0,0,1
385,298,23/3/2020,6:00 PM,Gujarat,29,0,0,1,29
556,217,19/3/2020,6:00 PM,Odisha,1,0,0,0,1
941,246,20/3/2020,6:00 PM,Uttar Pradesh,22,1,9,0,23
7,276,22/3/2020,6:00 PM,Haryana,7,14,0,0,21
77,263,21/3/2020,6:00 PM,Tamil Nadu,3,0,1,0,3
197,410,27/3/2020,10:00 AM,Mizoram,1,0,0,0,1
70,321,24/3/2020,6:00 PM,Gujarat,32,1,0,1,33
461,203,18/3/2020,6:00 PM,Tamil Nadu,1,0,0,0,1
391,60,7/3/2020,6:00 PM,Ladakh,2,0,0,0,2
18,295,23/3/2020,6:00 PM,Bihar,2,0,0,1,2
462,422,28/3/2020,6:00 PM,Bihar,9,0,0,1,9
608,114,12/3/2020,6:00 PM,Telengana,1,0,0,0,1
367,245,20/3/2020,6:00 PM,Ladakh,10,0,0,0,10
966,37,3/3/2020,6:00 PM,Rajasthan,0,1,0,0,1
72,119,12/3/2020,6:00 PM,Punjab,1,0,0,0,1
303,175,16/3/2020,6:00 PM,Ladakh,4,0,0,0,4
580,368,26/3/2020,6:00 PM,Bihar,6,0,0,1,6
184,215,19/3/2020,6:00 PM,Kerala,25,2,3,0,27
874,3,1/2/2020,6:00 PM,Kerala,2,0,0,0,2
522,33,2/3/2020,6:00 PM,Telengana,1,0,0,0,1
3,149,15/3/2020,6:00 PM,Andhra Pradesh,1,0,0,0,1
232,38,3/3/2020,6:00 PM,Kerala,3,0,3,0,3
630,220,19/3/2020,6:00 PM,Rajasthan,5,2,3,0,7
44,386,26/3/2020,6:00 PM,Punjab,33,0,0,1,33
929,41,4/3/2020,6:00 PM,Kerala,3,0,3,0,3
518,169,16/3/2020,6:00 PM,Odisha,1,0,0,0,1
365,252,21/3/2020,6:00 PM,Gujarat,7,0,0,0,7
894,123,13/3/2020,6:00 PM,Delhi,6,0,0,0,6
83,247,20/3/2020,6:00 PM,Uttarakhand,3,0,0,0,3
827,103,11/3/2020,6:00 PM,Telengana,1,0,0,0,1
873,299,23/3/2020,6:00 PM,Haryana,12,14,0,0,26
323,270,21/3/2020,6:00 PM,West Bengal,3,0,0,0,3
127,239,20/3/2020,6:00 PM,Punjab,2,0,0,1,2
265,227,19/3/2020,6:00 PM,Uttarakhand,1,0,0,0,1
188,230,20/3/2020,6:00 PM,Chhattisgarh,1,0,0,0,1
71,235,20/3/2020,6:00 PM,Kerala,26,2,3,0,28
599,444,28/3/2020,6:00 PM,Uttarakhand,4,1,0,0,5
783,202,18/3/2020,6:00 PM,Rajasthan,2,2,3,0,4
120,77,9/3/2020,6:00 PM,Maharashtra,2,0,0,0,2
763,182,17/3/2020,6:00 PM,Kerala,24,2,3,0,26
54,195,18/3/2020,6:00 PM,Haryana,3,14,0,0,17
79,417,27/3/2020,10:00 AM,Uttarakhand,4,1,0,0,5
297,29,27/2/2020,6:00 PM,Kerala,3,0,0,0,3
654,94,10/3/2020,6:00 PM,Rajasthan,1,14,0,0,15
111,433,28/3/2020,6:00 PM,Ladakh,13,0,3,0,13
604,82,9/3/2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1
487,17,15/2/2020,6:00 PM,Kerala,3,0,0,0,3
