SNo,Date,Country,RegionCode,RegionName,Latitude,Longitude,HospitalizedPatients,IntensiveCarePatients,TotalHospitalizedPatients,HomeConfinement,CurrentPositiveCases,NewPositiveCases,Recovered,Deaths,TotalPositiveCases,TestsPerformed
1155,2020-04-19T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,317,40,357,1630,1987,34,276,258,2521,22424
1156,2020-04-19T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,59,8,67,180,247,3,71,24,342,6528
1157,2020-04-19T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,142,6,148,696,844,24,116,75,1035,22234
1158,2020-04-19T17:00:00,ITA,15,Campania,40.83956555,14.25084984,590,61,651,2371,3022,41,703,304,4029,34994
1159,2020-04-19T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,3166,289,3455,10097,13552,376,5985,3023,22560,88776
1160,2020-04-19T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,140,25,165,1172,1337,14,1183,225,2745,27544
1161,2020-04-19T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1370,185,1555,2766,4321,87,1093,341,5755,22702
1162,2020-04-19T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,885,101,986,2504,3490,227,2110,928,6528,21103
1163,2020-04-19T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,10342,922,11264,23233,34497,855,19526,12213,66236,183757
1164,2020-04-19T17:00:00,ITA,11,Marche,43.61675973,13.5188753,799,86,885,2297,3182,48,1780,807,5769,27099
1165,2020-04-19T17:00:00,ITA,14,Molise,41.55774754,14.65916051,27,4,31,184,215,10,47,17,279,3482
1166,2020-04-19T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,162,23,185,1381,1566,55,569,245,2380,14783
1167,2020-04-19T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,278,41,319,1652,1971,101,1201,360,3532,16685
1168,2020-04-19T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,3201,305,3506,10964,14470,593,4256,2331,21057,71644
1169,2020-04-19T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,590,60,650,2136,2786,120,427,316,3529,41580
1170,2020-04-19T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,117,22,139,725,864,17,265,86,1215,13760
1171,2020-04-19T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,522,41,563,1639,2202,45,315,200,2717,49772
1172,2020-04-19T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,852,192,1044,5452,6496,135,1239,637,8372,84620
1173,2020-04-19T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,108,30,138,298,436,4,854,58,1348,16790
1174,2020-04-19T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,102,10,112,450,562,15,401,125,1088,3802
1175,2020-04-19T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1264,184,1448,8762,10210,243,4638,1087,15935,161231
1176,2020-04-20T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,320,38,358,1704,2062,91,287,263,2612,22552
1177,2020-04-20T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,59,7,66,176,242,0,76,24,342,6868
1178,2020-04-20T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,140,7,147,681,828,3,135,75,1038,22847
1179,2020-04-20T17:00:00,ITA,15,Campania,40.83956555,14.25084984,586,61,647,2372,3019,45,746,309,4074,36153
1180,2020-04-20T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,3144,283,3427,10095,13522,307,6266,3079,22867,90894
1181,2020-04-20T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,140,22,162,1028,1190,30,1346,239,2775,28777
1182,2020-04-20T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1388,185,1573,2792,4365,60,1101,349,5815,23067
1183,2020-04-20T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,878,102,980,2516,3496,141,2216,957,6669,21979
1184,2020-04-20T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,10138,901,11039,23548,34587,735,20008,12376,66971,173333
1185,2020-04-20T17:00:00,ITA,11,Marche,43.61675973,13.5188753,792,80,872,2340,3212,57,1792,822,5826,28006
1186,2020-04-20T17:00:00,ITA,14,Molise,41.55774754,14.65916051,27,2,29,184,213,2,50,18,281,3683
1187,2020-04-20T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,160,19,179,1361,1540,14,605,249,2394,15089
1188,2020-04-20T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,272,40,312,1617,1929,58,1295,366,3590,17347
1189,2020-04-20T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,3299,301,3600,10957,14557,292,4383,2409,21349,73192
1190,2020-04-20T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,584,66,650,2160,2810,38,431,326,3567,43119
1191,2020-04-20T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,115,21,136,718,854,13,288,86,1228,14160
1192,2020-04-20T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,526,39,565,1645,2210,42,346,203,2759,51373
1193,2020-04-20T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,850,182,1032,5536,6568,135,1272,667,8507,85946
1194,2020-04-20T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,113,29,142,282,424,1,867,58,1349,17099
1195,2020-04-20T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,102,8,110,438,548,0,413,127,1088,3910
1196,2020-04-20T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1273,180,1453,8608,10061,192,4954,1112,16127,163757
1197,2020-04-21T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,318,35,353,1714,2067,55,329,271,2667,23901
1198,2020-04-21T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,64,7,71,174,245,8,81,24,350,7470
1199,2020-04-21T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,133,7,140,679,819,9,152,76,1047,23914
1200,2020-04-21T17:00:00,ITA,15,Campania,40.83956555,14.25084984,532,58,590,2356,2946,61,872,317,4135,37505
1201,2020-04-21T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,3045,282,3327,9917,13244,225,6701,3147,23092,93367
1202,2020-04-21T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,139,21,160,1162,1322,17,1229,241,2792,31352
1203,2020-04-21T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1380,184,1564,2838,4402,80,1130,363,5895,24046
1204,2020-04-21T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,914,94,1008,2455,3463,95,2311,990,6764,22670
1205,2020-04-21T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,9805,851,10656,23322,33978,960,21374,12579,67931,173333
1206,2020-04-21T17:00:00,ITA,11,Marche,43.61675973,13.5188753,784,78,862,2356,3218,51,1825,834,5877,29090
1207,2020-04-21T17:00:00,ITA,14,Molise,41.55774754,14.65916051,27,2,29,184,213,1,51,18,282,4015
1208,2020-04-21T17:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,159,20,179,1357,1536,16,623,251,2410,15405
1209,2020-04-21T17:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,254,38,292,1617,1909,24,1329,376,3614,17705
1210,2020-04-21T17:00:00,ITA,1,Piemonte,45.0732745,7.680687483,3116,293,3409,11402,14811,606,4659,2485,21955,76406
1211,2020-04-21T17:00:00,ITA,16,Puglia,41.12559576,16.86736689,569,65,634,2178,2812,55,459,351,3622,44760
1212,2020-04-21T17:00:00,ITA,20,Sardegna,39.21531192,9.110616306,112,21,133,704,837,8,306,93,1236,14526
1213,2020-04-21T17:00:00,ITA,19,Sicilia,38.11569725,13.3623567,514,37,551,1708,2259,76,370,206,2835,55093
1214,2020-04-21T17:00:00,ITA,9,Toscana,43.76923077,11.25588885,833,171,1004,5618,6622,96,1295,686,8603,87717
1215,2020-04-21T17:00:00,ITA,10,Umbria,43.10675841,12.38824698,107,22,129,278,407,4,886,60,1353,17873
1216,2020-04-21T17:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,99,8,107,415,522,5,445,126,1093,3969
1217,2020-04-21T17:00:00,ITA,5,Veneto,45.43490485,12.33845213,1230,177,1407,8670,10077,277,5173,1154,16404,167129
1218,2020-04-22T17:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,309,35,344,1764,2108,66,349,276,2733,24317
1219,2020-04-22T17:00:00,ITA,17,Basilicata,40.63947052,15.80514834,65,7,72,160,232,4,98,24,354,8040
1220,2020-04-22T17:00:00,ITA,18,Calabria,38.90597598,16.59440194,128,7,135,686,821,13,163,76,1060,24878
1221,2020-04-22T17:00:00,ITA,15,Campania,40.83956555,14.25084984,523,53,576,2422,2998,50,860,327,4185,38679
1222,2020-04-22T17:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,2964,282,3246,9838,13084,342,7146,3204,23434,96824
1223,2020-04-22T17:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,134,20,154,1154,1308,25,1263,246,2817,32871
1224,2020-04-22T17:00:00,ITA,12,Lazio,41.89277044,12.48366722,1384,187,1571,2892,4463,80,1142,370,5975,25244
1225,2020-04-22T17:00:00,ITA,7,Liguria,44.41149315,8.9326992,860,92,952,2524,3476,154,2420,1022,6918,23756
1226,2020-04-22T17:00:00,ITA,3,Lombardia,45.46679409,9.190347404,9692,817,10509,23733,34242,1161,22110,12740,69092,184323
1227,2020-04-22T17:00:00,ITA,11,Marche,43.61675973,13.5188753,735,76,811,2419,3230,47,1849,845,5924,30543
1228,2020-04-22T17:00:00,ITA,14,Molise,41.55774754,14.65916051,21,2,23,182,205,2,60,19,284,4252
